conversation_id,total_mensajes,motivos_no_pago,ofertas_asesor,argumentos_asesor,acuerdo_pago,fecha_compromiso,csat_declarado,score_satisfaccion,tono_cliente,tono_asesor,requiere_escalamiento,resumen_conversacion,modelo_llm
CONV_00000244,24,['falta_liquidez'],[],[],1,09,,90,colaborativo,neutral,False,"Cliente contacta al banco para consultar sus saldos en mora. Tras revisar los detalles de su crédito vehicular y tarjeta, el asesor propone una fecha de promesa de pago y el cliente acepta concretarla para el día 9 a la espera de recibir su pago.",gemini-3.5-flash-lite
CONV_00000245,43,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",['derivacion_reclamos'],['empatia_y_apoyo'],1,mañana,,10,frustrado,neutral,True,"El cliente se contacta para gestionar sus productos, realiza el pago del crédito de libranza y manifiesta inconformidad por una reclamación pendiente sobre las tarjetas de crédito. El asesor valida el estado del trámite y deriva al cliente a canales de atención física y telefónica para su seguimiento.",gemini-3.5-flash-lite
CONV_00000246,33,['pago_ya_realizado'],['refinanciacion'],[],0,,,0,frustrado,neutral,True,El cliente se comunica para gestionar sus productos y manifiesta que ya realizó un arreglo previo creyendo que estaba solucionado. El asesor identifica que la alternativa solo aplicó al crédito de vivienda pero no al préstamo personal y ofrece realizar una nueva solicitud para el crédito en mora. La conversación finaliza sin un acuerdo de pago concreto.,gemini-3.5-flash-lite
CONV_00000247,21,['pago_ya_realizado'],[],[],0,,,60,colaborativo,neutral,True,El cliente se comunica para consultar sobre un pago pendiente y un radicado previo. El asesor verifica que el pago está en proceso de revisión bajo el radicado indicado. La conversación finaliza de manera cordial sin requerir acuerdo de pago.,gemini-3.5-flash-lite
CONV_00000248,35,['pago_ya_realizado'],[],[],0,,,40,neutral,neutral,True,"El cliente inicia el proceso de cobranza para revisar opciones de ampliación de plazo y cuota, posteriormente se corta la comunicación telefónica y al finalizar el chat el cliente envía un soporte de pago. | El cliente indica haber realizado un pago enviando comprobante. | La conversación finaliza con el envío del soporte de pago por parte del cliente requiriendo validación.",gemini-3.5-flash-lite
CONV_00000249,27,['desconexion_o_rebote'],[],[],0,,,50,colaborativo,neutral,False,"El cliente inicia el proceso de validación de identidad con el bot y el asesor, pero la conversación se interrumpe y queda inconclusa. No se logra concretar un acuerdo de pago debido al abandono de la línea.",gemini-3.5-flash-lite
CONV_00000250,20,['pago_ya_realizado'],['condonacion_intereses'],[],0,,,60,neutral,neutral,True,"El cliente es contactado por cobranza e indica que ya realizó el pago correspondiente al descuento de intereses ofrecido previamente. El asesor verifica la información y confirma que la condonación está en proceso de aplicación, cerrando la gestión satisfactoriamente.",gemini-3.5-flash-lite
CONV_00000251,32,['falta_liquidez'],"['fraccionamiento', 'refinanciacion']",[],0,,,60,colaborativo,neutral,False,"El cliente se contacta para llegar a un acuerdo y consulta sobre la posibilidad de reducir la cuota de su crédito y cancelar sus tarjetas. Manifiesta falta de flujo de caja actual y menciona que podría pagar después del 15, pero no se concreta un acuerdo de pago formal. La conversación finaliza sin que el asesor logre cerrar una fecha exacta.",gemini-3.5-flash-lite
CONV_00000252,46,['falta_liquidez'],[],[],0,,,20,frustrado,ineficaz,False,"El cliente fue contactado por mora en su crédito de vehículo y manifestó inconformidad porque le mencionaron alternativas que no le brindaron inicialmente. Durante la charla explicó que sus ingresos han disminuido debido a bajas ventas en su actividad agrícola, sin llegar a concretar ningún acuerdo de pago ni recibir ofertas claras.",gemini-3.5-flash-lite
CONV_00000253,29,['desempleo'],['refinanciacion'],[],0,,,60,colaborativo,neutral,False,"El cliente se comunica para gestionar un acuerdo de pago debido a una reducción de ingresos tras estar desempleado. El asesor evalúa alternativas de unificación, pero la conversación finaliza por inactividad sin concretar un compromiso.",gemini-3.5-flash-lite
CONV_00000254,36,['desempleo'],['fraccionamiento'],['evitar_reporte'],1,en unos 10 días,,90,colaborativo,neutral,False,"El cliente contacta al banco manifestando que estuvo sin empleo, pero expresa intención de pago afirmando que en 10 días se pondrá al día. El asesor le informa sobre los intereses y las consecuencias para evitar reportes negativos, cerrando la interacción de manera cordial.",gemini-3.5-flash-lite
CONV_00000255,23,['pago_ya_realizado'],['fraccionamiento'],[],0,,,80,colaborativo,neutral,True,El cliente se contacta con el asesor para enviar el comprobante de un pago previamente realizado. El asesor registra el pago en el sistema y finaliza la gestión con éxito.,gemini-3.5-flash-lite
CONV_00000256,36,['consulta_o_tramite'],['derivacion_reclamos'],"['evitar_reporte', 'evitar_gastos']",0,,,40,colaborativo,presionador,False,"El cliente se comunica para solicitar una alternativa de pago con descuento y saldos de sus productos en mora. El asesor le informa sobre el riesgo legal y los costos, indicándole que se comunique a servicio al cliente para solicitar los certificados de saldo. La conversación finaliza sin un acuerdo de pago debido a que el cliente está a la espera de la información de saldos para negociar.",gemini-3.5-flash-lite
CONV_00000257,28,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",[],[],0,,,0,indignado,neutral,True,"El cliente contacta al banco para notificar que los pagos de sus productos ya fueron realizados, enviando comprobantes. El asesor valida los saldos pendientes sin resolver la inconsistencia del pago ya efectuado. La conversación termina con reclamo del cliente por falta de registro de su pago y sin acuerdo de cobro.",gemini-3.5-flash-lite
CONV_00000258,21,['pago_ya_realizado'],[],[],0,,,10,frustrado,neutral,True,"El cliente se comunica con un asesor para informar que ya realizó el pago el día sábado y envía los comprobantes respectivos. El asesor confirma la notificación en el sistema, pero el cliente expresa su molestia porque le siguen llamando insistentemente a pesar de haber pagado. La conversación finaliza sin requerir más ayuda del cliente y con una encuesta de satisfacción del bot.",gemini-3.5-flash-lite
CONV_00000259,45,"['pago_ya_realizado', 'desempleo']",[],"['evitar_reporte', 'evitar_gastos']",1,20 de PERSONA_00000108,7.0,100,colaborativo,empatico,True,"El cliente contacta al banco para informar que ya pagó las tarjetas de crédito y se compromete a pagar el préstamo pendiente el día 20. Menciona estar desempleado y solicita información sobre su historial crediticio, cerrando con una evaluación altamente positiva de la atención recibida.",gemini-3.5-flash-lite
CONV_00000260,33,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",[],['empatia_y_apoyo'],0,,,0,indignado,empatico,True,"El cliente contacta al banco afirmando que ya realizó su pago, pero el asesor le informa sobre un saldo pendiente menor que mantiene la mora. El cliente manifiesta desacuerdo e indignación por el cobro adicional generando una disputa por saldo, cerrando sin un acuerdo de pago definitivo.",gemini-3.5-flash-lite
CONV_00000261,25,['pago_ya_realizado'],[],[],0,,,60,colaborativo,empatico,True,El cliente se contacta para consultar sobre un mensaje de cobro | Indica que ya realizó el pago de una cuota pendiente el día anterior | El asesor confirma el ingreso del pago y el cliente queda al día con su obligación.,gemini-3.5-flash-lite
CONV_00000262,61,['priorizacion_otros_gastos'],"['fraccionamiento', 'extension_plazo']",['empatia_y_apoyo'],1,viernes 10,7.0,100,colaborativo,empatico,False,Cliente contacta para informarse sobre su crédito en mora debido a gastos por un proceso de sucesión. El asesor ofrece una alternativa de normalización trasladando cuotas al final del crédito y el cliente acepta las condiciones comprometiéndose al pago para el día viernes 10.,gemini-3.5-flash-lite
CONV_00000263,23,['disputa_saldo_o_cobro'],[],[],0,,,20,neutral,neutral,True,El cliente se contacta buscando información y tras validar sus datos manifiesta confusión porque recibe mensajes de cobro a pesar de que su crédito hipotecario aparece al día. El asesor valida la situación y finaliza la gestión sin requerir pagos ya que el producto se encuentra al corriente.,gemini-3.5-flash-lite
CONV_00000264,29,['pago_ya_realizado'],[],[],0,,,40,neutral,neutral,True,"El cliente contacta para informar que ya realizó un pago y envía comprobantes. El asesor valida el pago anterior pero indica que aún queda una cuota pendiente, ante lo cual el cliente insiste en que considera estar al día.",gemini-3.1-flash-lite
CONV_00000265,20,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,neutral,True,El cliente se comunica solicitando información y posteriormente muestra desacuerdo con el monto de la deuda presentado por el asesor. La conversación termina sin llegar a un acuerdo debido a la disputa del saldo y la solicitud del cliente por comunicarse con otro asesor.,gemini-3.5-flash-lite
CONV_00000266,31,['priorizacion_otros_gastos'],"['extension_plazo', 'fraccionamiento']",['evitar_reporte'],1,agosto,7.0,100,colaborativo,empatico,False,"El cliente se comunica porque tuvo un gasto adicional inesperado que le impidió pagar su crédito personal a tiempo. El asesor le ofrece una alternativa de traslado de cuotas para retomar pagos en agosto. Finalmente, la cliente acepta las condiciones y la solicitud queda en trámite para aprobación del comité.",gemini-3.5-flash-lite
CONV_00000267,43,['falta_liquidez'],[],[],0,las 11,,70,colaborativo,neutral,False,Cliente se comunica para manifestar atraso y problemas de liquidez pero expresa deseo de normalizar su situación de acuerdo a su capacidad actual. Acuerdan continuar la llamada a las 11 para revisar opciones de pago. La conversación finaliza antes de concretar un acuerdo formal de pago.,gemini-3.5-flash-lite
CONV_00000268,20,['pago_ya_realizado'],[],['beneficio_inmediato'],0,,,60,colaborativo,neutral,True,El cliente contacta al asesor para reportar un cobro pendiente sobre su tarjeta de crédito. | El cliente manifiesta que ya realizó el pago el día anterior y la aplicación muestra saldo en mora 0. | El asesor valida la información del pago y finaliza la gestión.,gemini-3.5-flash-lite
CONV_00000269,23,['pago_ya_realizado'],[],[],0,,,40,neutral,neutral,True,"El cliente se comunica para solicitar información sobre su saldo pendiente y afirma haber realizado dos pagos previos. El asesor valida los comprobantes y confirma que el portafolio queda al día, gestionando la actualización en el sistema. El resultado fue la aclaración de la cuenta del cliente y confirmación de pago.",gemini-3.5-flash-lite
CONV_00000270,28,"['desempleo', 'falta_liquidez']","['extension_plazo', 'fraccionamiento', 'derivacion_reclamos']",['empatia_y_apoyo'],0,,,70,colaborativo,empatico,False,"El cliente se comunica con el banco y manifiesta encontrarse desempleado desde hace 6 meses, trabajando solo por días y con ingresos mínimos para subsistir. El asesor le ofrece alternativas como el seguro de desempleo y la opción de retomar pagos en agosto, pero no se concreta un acuerdo de pago con fecha específica.",gemini-3.5-flash-lite
CONV_00000271,24,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",['derivacion_reclamos'],[],0,,,10,frustrado,neutral,True,El cliente se comunica para resolver una duda sobre un aumento en su cuota de leasing tras un abono a capital e informa que su tarjeta de crédito ya fue pagada. | El asesor identifica una inconsistencia y escala el caso al área encargada para revisión del plan de pagos. | La conversación finaliza con el escalamiento del requerimiento sin acuerdo de cobro pendiente.,gemini-3.5-flash-lite
CONV_00000272,42,['priorizacion_otros_gastos'],"['extension_plazo', 'fraccionamiento']","['evitar_reporte', 'beneficio_inmediato', 'empatia_y_apoyo']",1,VIERNES 10/07,,90,colaborativo,empatico,False,Cliente con mora baja en crédito de vehículo presenta retraso debido a gastos imprevistos de reparaciones. El asesor ofrece un traslado de cuota y el cliente acepta formalizar el acuerdo de pago para el viernes 10/07 a través de PSE.,gemini-3.5-flash-lite
CONV_00000273,21,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",[],[],0,,,0,frustrado,neutral,True,"El cliente se comunica para solicitar información de cobro, manifestando que ya realizó un pago reciente de 900 mil y cuestionando la aplicación del mismo. La conversación termina sin acuerdo de pago debido a dudas sobre el saldo y la necesidad de aclaración de extractos.",gemini-3.5-flash-lite
CONV_00000274,22,['disputa_saldo_o_cobro'],[],['empatia_y_apoyo'],0,,,20,neutral,empatico,True,"El cliente recibe un mensaje de cobro y contacta para consultar a qué obligación se refiere, manifestando que se encuentra al día. El asesor valida en el sistema y confirma que efectivamente está al día, por lo que registrará la novedad para evitar futuras comunicaciones erróneas.",gemini-3.5-flash-lite
CONV_00000275,68,['desempleo'],['extension_plazo'],['empatia_y_apoyo'],1,SEPTIEMBRE,7.0,100,colaborativo,empatico,False,Cliente presenta mora debido a situación de desempleo temporal. El asesor ofrece trasladar cuotas al final del crédito retomando pagos en septiembre. El cliente acepta la alternativa tras resolver dudas sobre los valores y datos socioeconómicos.,gemini-3.5-flash-lite
CONV_00000276,20,['pago_ya_realizado'],['refinanciacion'],"['evitar_gastos', 'empatia_y_apoyo']",1,hoy,,70,colaborativo,empatico,True,El cliente se comunica para consultar sobre la cuota final de su crédito de vehículo y menciona que realizará el pago actual hoy mismo. El asesor le ofrece opciones para refinanciar o cambiar la tasa del crédito futuro. El cliente confirma que ya realizó el pago de la cuota pendiente.,gemini-3.5-flash-lite
CONV_00000277,32,"['falta_liquidez', 'priorizacion_otros_gastos']","['refinanciacion', 'derivacion_reclamos']",['evitar_reporte'],0,,,40,colaborativo,neutral,False,"El cliente se comunica para solicitar un acuerdo de pago y una reducción en el valor de su cuota debido a limitaciones financieras y otros gastos. El asesor le informa que por ser un producto de libranza con convenio no es posible disminuir la cuota por este medio y le ofrece alternativas que no se ajustan a su necesidad, finalizando sin acuerdo.",gemini-3.5-flash-lite
CONV_00000278,33,['desempleo'],"['fraccionamiento', 'extension_plazo']",['evitar_reporte'],0,,,60,colaborativo,empatico,False,"Cliente presenta mora de 31 días y manifiesta encontrarse desempleado. El asesor ofrece alternativas de normalización como cuota más baja, pero la conversación queda inconclusa sobre el acuerdo final.",gemini-3.5-flash-lite
CONV_00000279,31,['consulta_o_tramite'],['extension_plazo'],['evitar_reporte'],1,antes del 9,,100,colaborativo,empatico,False,"El cliente se comunica para conocer su saldo y alternativas de normalización, manifestando la intención de pagar antes del 9 y consultando sobre el cambio de fecha de corte. El asesor le informa sobre las opciones disponibles y el estado de su crédito. La gestión finaliza con el compromiso de pago del cliente y la resolución de sus dudas sobre el trámite.",gemini-3.5-flash-lite
CONV_00000280,71,['falta_liquidez'],['extension_plazo'],['empatia_y_apoyo'],0,,,80,colaborativo,empatico,False,Cliente contacta al banco para retomar una negociación de traslado de cuotas pendiente desde el viernes. El asesor recopila la información financiera y realiza la solicitud formal de traslado de cuotas para retomar pagos en agosto. La conversación finaliza exitosamente con la gestión de la solicitud de extensión.,gemini-3.5-flash-lite
CONV_00000281,20,['disputa_saldo_o_cobro'],[],[],0,,,10,neutral,neutral,True,El cliente se comunica para validar opciones de conciliación para su crédito en mora. Durante la gestión surge una discrepancia sobre la fecha de su último pago registrado por el sistema del banco. La conversación finaliza sin acuerdo y con una disputa sobre el estado de cuenta.,gemini-3.5-flash-lite
CONV_00000282,39,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,neutral,True,El cliente contacta al banco para aclarar que hay un error de marcación y que la línea telefónica le pertenece a una mujer que no tiene relación con la deuda ni con la entidad. | El cliente manifiesta repetidamente que están equivocados y que no conoce a la persona buscada. | La conversación finaliza sin acuerdo y con el cliente insatisfecho tras múltiples intentos de validación erróneos por parte del canal digital.,gemini-3.5-flash-lite
CONV_00000283,93,['desempleo'],"['extension_plazo', 'refinanciacion']",['empatia_y_apoyo'],1,08/08,,10,indignado,empatico,True,"El cliente contacta al banco por dificultades financieras debido a su desempleo y expresa fuerte inconformidad por la falta de claridad en la cobertura de su seguro. Tras evaluar opciones, el cliente acepta formalizar un traslado de cuotas para retomar pagos el 8 de agosto.",gemini-3.1-flash-lite
CONV_00000284,24,['consulta_o_tramite'],['refinanciacion'],"['evitar_reporte', 'evitar_gastos']",1,16/07 y 24/07,,40,indignado,presionador,False,"El cliente se comunica para gestionar sus cuotas pendientes, rechazando una refinanciación total de la deuda. Tras proporcionar su información, establece fechas de pago específicas para sus obligaciones (16/07 y 24/07) pidiendo no ser insistido, mientras el asesor advierte sobre las consecuencias del incumplimiento.",gemini-3.5-flash-lite
CONV_00000285,27,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",[],[],0,,,0,indignado,neutral,True,"El cliente se comunica para validar su estado de cuenta, informando que ya se encuentra al día y que realizó un pago el 17 de junio. Ante la insistencia del cobro por parte del asesor, el cliente manifiesta que el cobro es falso y amenaza con denunciar por acoso, sin llegarse a un acuerdo de pago.",gemini-3.5-flash-lite
CONV_00000286,143,['consulta_o_tramite'],"['fraccionamiento', 'extension_plazo']",['evitar_reporte'],1,2026-07-15,,30,frustrado,neutral,True,"El cliente contacta para validar su situación de mora y renegociar el excedente de su canon tras un incremento elevado por impuesto predial. Tras revisar opciones, se llega a un acuerdo de pago para el 10 y 15 de julio, pero requiere escalamiento debido a consultas sobre un embargo y diferencias previas en la gestión.",gemini-3.5-flash-lite
CONV_00000287,58,"['pago_ya_realizado', 'disputa_saldo_o_cobro', 'priorizacion_otros_gastos']","['fraccionamiento', 'extension_plazo']",['empatia_y_apoyo'],0,,,20,frustrado,empatico,True,"El cliente se contacta para revisar sus productos financieros, manifiesta inconformidad con los saldos afirmando que ya realizó un pago y presenta una nueva obligación que afecta sus egresos. El asesor gestiona la validación del caso con su jefe para evaluar una posible baja de cuota y tasa, acordando una llamada posterior.",gemini-3.5-flash-lite
CONV_00000288,25,['pago_ya_realizado'],[],[],0,,,0,indignado,neutral,True,"El cliente recibe un mensaje de cobranza y manifiesta de manera reiterada que ya realizó el pago, pidiendo que no lo molesten. El bot y el asesor solicitan validación de identidad, pero el proceso no concluye y la cuenta requiere escalamiento por el reporte de pago ya realizado.",gemini-3.5-flash-lite
CONV_00000289,28,['consulta_o_tramite'],[],['beneficio_inmediato'],1,el día de hoy,,90,colaborativo,neutral,False,"El cliente valida su caso de libranza con el asesor e indica que cancelará la obligación en el transcurso de la tarde. Tras rechazar el canal PSE, prefiere realizar el pago de forma presencial en oficina.",gemini-3.5-flash-lite
CONV_00000290,71,['falta_liquidez'],['extension_plazo'],['evitar_reporte'],1,FECHA_ANONIMIZADA,,70,colaborativo,neutral,False,"El cliente se comunica para validar un cambio de cuota solicitado previamente que no aparecía reflejado. Tras rechazar una propuesta de ampliación de plazo, acuerda realizar el pago de una cuota para el día 9 y postergar la segunda para unos días después. La negociación concluye con un compromiso parcial de pago.",gemini-3.5-flash-lite
CONV_00000291,21,['falta_liquidez'],[],[],0,fin de mes,,60,neutral,neutral,False,Cliente se comunica por crédito vehicular en mora manifestando que el pago depende de los ingresos de su trabajo en camiones y que sus fechas de pago están acordadas para fin de mes. El asesor intenta gestionar el cobro inmediato sin llegar a un acuerdo de pago formal con fecha exacta de este periodo.,gemini-3.5-flash-lite
CONV_00000292,26,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,neutral,True,"El cliente contacta para consultar las cuotas de sus productos y el valor de su crédito personal. Al percatarse de un cobro por otros conceptos que considera injustificado y no autorizado, manifiesta su desacuerdo y amenaza con escalar una queja a la superintendencia bancaria. La conversación finaliza sin acuerdo de pago y con reclamo formal.",gemini-3.5-flash-lite
CONV_00000293,20,['disputa_saldo_o_cobro'],[],[],0,,0.0,0,indignado,neutral,True,"El cliente es contactado por cobranza, pero manifiesta inconformidad y rechaza la existencia de productos con el banco. Tras la verificación de datos, el asesor anota el caso sin ofrecer soluciones y el cliente califica negativamente la experiencia.",gemini-3.5-flash-lite
CONV_00000294,32,"['pago_ya_realizado', 'disputa_saldo_o_cobro']",[],[],0,,,0,indignado,ineficaz,True,"El cliente contacta al banco para validar un pago realizado que no ha sido aplicado a su saldo actual. El asesor le indica que debe enviar el comprobante a un correo y le pregunta por una nueva cuota vencida, generando fricción debido a cobros y moras no resueltas. El caso termina sin acuerdo de pago y requiere escalamiento por pago no aplicado y disputa.",gemini-3.5-flash-lite
CONV_00000295,29,['pago_ya_realizado'],[],[],0,,7.0,100,frustrado,neutral,True,"El cliente recibe mensajes de cobranza y manifiesta que ya realizó el pago de su obligación, solicitando que dejen de llamarlo. El asesor valida la información y confirma que el pago ingresó correctamente pero está pendiente de actualización, dejando el registro interno correspondiente.",gemini-3.5-flash-lite
CONV_00000296,143,"['disputa_saldo_o_cobro', 'consulta_o_tramite']","['fraccionamiento', 'refinanciacion']","['evitar_reporte', 'evitar_gastos']",0,,,0,indignado,neutral,True,Cliente presenta mora debido a un cambio de fecha de pago no aplicado y un cobro de impuesto predial no notificado previamente. Objeta el reporte negativo como reestructurado y solicita solución al trámite. La conversación finaliza sin un acuerdo de pago definitivo y con fuerte inconformidad del cliente.,gemini-3.5-flash-lite
CONV_00000297,22,['pago_ya_realizado'],[],[],0,,,0,indignado,neutral,True,"El cliente contacta para verificar el motivo de la comunicación y manifiesta que ya realizó el pago, enviando el comprobante respectivo. El asesor confirma la recepción en el sistema y registra el pago. La conversación finaliza de manera satisfactoria para la aclaración del cobro pero con alta fricción previa.",gemini-3.5-flash-lite
CONV_00000298,33,['desconexion_o_rebote'],[],[],1,viernes 10 de octubre,,90,colaborativo,neutral,False,"La cliente inicia la gestión para validar un caso de crédito de vivienda a nombre de su hija. Tras superar la confusión con los datos de identificación y residencia, el asesor confirma el saldo pendiente. La cliente se compromete formalmente a realizar el pago para el día viernes 10.",gemini-3.5-flash-lite
CONV_00000299,36,['consulta_o_tramite'],['refinanciacion'],[],0,,,80,colaborativo,neutral,False,"El cliente se comunica para consultar el estado de una refinanciación previa de su tarjeta de crédito. | El cliente realiza una consulta sobre un trámite en curso sin expresar un motivo de no pago ni intención de pago inmediata. | El asesor confirma que la negociación ya está radicatada y pendiente por aplicar, finalizando la atención sin necesidad de acuerdo de pago.",gemini-3.5-flash-lite
CONV_00000300,58,['falta_liquidez'],['extension_plazo'],['empatia_y_apoyo'],1,10 de agosto,7.0,100,colaborativo,empatico,False,"Cliente presenta mora debido a retrasos en el pago de su sueldo por parte de la empresa. El asesor ofrece un traslado de cuotas para retomar pagos el 10 de agosto, acuerdo que el cliente acepta exitosamente tras aclarar las dudas.",gemini-3.5-flash-lite
CONV_00000301,29,['falta_liquidez'],[],[],1,mañana,,80,colaborativo,neutral,False,"El cliente consulta el saldo total de sus deudas y manifiesta que no le alcanza para pagar todo. Tras la revisión de los productos, el cliente acuerda realizar el pago del crédito de vivienda para el día siguiente por medio de oficina.",gemini-3.5-flash-lite
CONV_00000302,22,['consulta_o_tramite'],[],[],0,,,60,neutral,neutral,False,"El cliente se comunica para solicitar información de su obligación en mora. El asesor valida sus datos y le informa sobre su saldo pendiente, ante lo cual el cliente manifiesta que no había pagado porque no le llegó el extracto. La conversación finaliza sin llegar a un acuerdo de pago debido a falta de respuesta del cliente tras indicarle el medio para solicitar el extracto.",gemini-3.5-flash-lite
CONV_00000303,23,['pago_ya_realizado'],[],[],0,,,60,neutral,neutral,True,"El cliente recibe una notificación de cobro e indica inmediatamente que ya realizó el pago de la cuota de junio. Tras validar los datos solicitados por el asesor y confirmar la fecha del pago, el asesor le informa que si el pago ingresa al sistema quedará al día.",gemini-3.5-flash-lite
CONV_00000304,28,['desempleo'],[],[],0,,,60,colaborativo,neutral,False,"El cliente se comunica para solicitar información sobre sus deudas vencidas y realiza actualización de datos personales con el asesor. Al ser consultado por el pago, manifiesta que se encuentra desempleado y sin capacidad de pago actual. La conversación finaliza sin llegar a un acuerdo debido a la falta de liquidez del cliente.",gemini-3.5-flash-lite
CONV_00000305,51,['falta_liquidez'],"['refinanciacion', 'extension_plazo']",['empatia_y_apoyo'],1,FECHA_ANONIMIZADA,,90,colaborativo,empatico,False,"El cliente se comunica para informarse sobre su crédito en mora debido a un inconveniente económico el mes anterior. Tras revisar las opciones, acepta una propuesta de normalización consistente en el traslado de cuotas con compromiso de abono y pago en fecha específica. La negociación se radica exitosamente.",gemini-3.5-flash-lite
CONV_00000306,22,['pago_ya_realizado'],[],[],0,,,40,neutral,neutral,True,El cliente contacta para solicitar más información sobre su crédito y reporta que ya realizó un pago mediante consignación. El asesor valida que el pago está en proceso de ajuste y el cliente solicita la actualización de su CRM para evitar futuras llamadas de cobro.,gemini-3.5-flash-lite
CONV_00000307,56,['priorizacion_otros_gastos'],['extension_plazo'],"['evitar_reporte', 'evitar_gastos', 'empatia_y_apoyo']",1,SÁBADO 11,,90,colaborativo,empatico,False,"El cliente contacta al banco para consultar el valor de su cuota vencida de libre inversión, indicando que prioriza el pago de su crédito hipotecario. Tras proporcionar sus datos financieros y evaluar opciones, acepta una propuesta de ampliación de plazo y se compromete a realizar el pago de la cuota más vencida para el día sábado 11.",gemini-3.5-flash-lite
CONV_00000308,23,[],[],[],0,,,0,indignado,neutral,True,"El cliente se comunica para solicitar información sobre sus productos vencidos y validar sus datos. Al recibir la gestión de cobro, manifiesta indignación y acusa al banco de acoso por tener solo un día de mora. La conversación finaliza sin un acuerdo de pago concreto y con un reclamo activo por la gestión de cobranza.",gemini-3.5-flash-lite
CONV_00000309,28,['consulta_o_tramite'],[],"['evitar_reporte', 'evitar_gastos']",1,FECHA_ANONIMIZADA,,90,colaborativo,neutral,False,"El cliente se comunica inicialmente para consultar información sobre su crédito, la tasa y el estado de la cuota. Tras resolver sus dudas con el asesor, el cliente confirma la intención de pago para el día de hoy y se concreta el acuerdo.",gemini-3.5-flash-lite
CONV_00000310,35,['consulta_o_tramite'],[],"['evitar_gastos', 'beneficio_inmediato']",1,FECHA_ANONIMIZADA,,90,colaborativo,neutral,False,"El cliente se comunica al canal digital para consultar el saldo de su obligación en mora y gestionar el pago. El asesor le indica el valor adeudado y el medio de pago, y el cliente acepta realizar el pago a través de un reval comprometiéndose para la fecha establecida y solicitando las referencias necesarias.",gemini-3.5-flash-lite
CONV_00000311,27,['desconexion_o_rebote'],[],"['beneficio_inmediato', 'evitar_gastos']",1,para el día de hoy,,100,colaborativo,neutral,False,Cliente se comunica para gestionar el pago de su producto en mora de 3 días. Confirma datos con el asesor y acepta realizar el pago el día de hoy solicitando el enlace correspondiente.,gemini-3.5-flash-lite
CONV_00000312,23,['desempleo'],['extension_plazo'],['evitar_reporte'],0,,,60,colaborativo,empatico,False,"El cliente se comunica solicitando información para ponerse al día y menciona que se encuentra desempleado hace un mes y diez días. El asesor ofrece trasladar cuotas al final del crédito para evitar reportes negativos, el cliente muestra interés inicial diciendo que está perfecto, pero la conversación finaliza sin que se concrete un acuerdo de pago con fecha específica.",gemini-3.5-flash-lite
CONV_00000313,20,['desconexion_o_rebote'],[],[],0,,,50,neutral,neutral,False,"El cliente inició el proceso de chat para solicitar más información y completó la validación de identidad con el asesor. Sin embargo, la conversación quedó inconclusa y se desconectó antes de que se pudiera gestionar la deuda o concretar un pago.",gemini-3.5-flash-lite
CONV_00000314,27,['desconexion_o_rebote'],[],[],0,,,60,neutral,neutral,False,El cliente responde a un HSM de cobranza mostrando interés y posteriormente valida su información y documentos solicitados por el asesor. La conversación finaliza sin que se concrete un acuerdo de pago ni se mencione un motivo específico de no pago por parte del cliente.,gemini-3.5-flash-lite
CONV_00000315,40,['pago_ya_realizado'],['fraccionamiento'],['empatia_y_apoyo'],0,,,60,colaborativo,empatico,True,"El cliente contacta al banco para realizar el pago de su libranza en mora, encuentra una dificultad inicial para pagar pero finalmente logra efectuarlo. Al final manifiesta que ya realizó el pago y solicita sus soportes y extracto, por lo que requiere escalamiento.",gemini-3.5-flash-lite
CONV_00000316,40,['desempleo'],['extension_plazo'],['empatia_y_apoyo'],0,,,60,neutral,empatico,False,"Cliente se comunica para solicitar información sobre su crédito y manifiesta su interés en quitar un seguro de desempleo que adquirió previamente. Al ser consultada sobre el pago, indica que está sin trabajo y que solo puede pagar la mitad el día 15, sin llegar a un acuerdo de pago completo.",gemini-3.5-flash-lite
CONV_00000317,25,['pago_ya_realizado'],[],[],0,,6.0,83,colaborativo,neutral,True,El cliente se comunica para solicitar información y reporta que ya realizó su pago a través de la plataforma enviando un soporte. El asesor valida los datos del cliente y confirma que notificará el pago en el sistema.,gemini-3.5-flash-lite
CONV_00000318,38,['consulta_o_tramite'],[],[],0,,,0,frustrado,neutral,True,El cliente se comunica para reportar fallas técnicas al intentar pagar su cuota a través de AvalPay durante tres días. Presenta frustración ante los procesos de validación del asesor y no logra concretar el pago. | El resultado es inconcluso ya que el cliente requiere soporte técnico con el medio de pago y el caso amerita escalamiento.,gemini-3.5-flash-lite
